Sector,Fila,Columna,Distancia
0,2,10,759.3171
0,2,11,542.7073
0,2,12,353.9951
0,2,13,262.5
0,2,14,353.9951
0,2,15,542.7073
0,2,16,759.3171
0,2,17,985.5994
0,2,18,1216.1671
0,2,19,1448.9759
0,2,20,1683.0961
0,2,21,1918.0475
0,2,22,2153.5581
0,2,23,2389.4625
0,2,24,2625.6547
0,2,25,2862.0633
0,2,26,3098.6388
0,2,27,3335.3457
0,2,28,3572.158
0,2,29,3809.0558
0,2,30,4046.0243
0,2,31,4283.0516
0,2,32,4520.1286
0,2,33,4757.2478
0,2,34,4994.4031
0,2,35,5231.5897
0,2,36,5468.8036
0,2,37,5706.0412
0,2,38,5943.2998
0,2,39,6180.5769
0,2,40,6417.8706
0,2,41,6655.1789
0,2,42,6892.5005
0,2,43,7129.8339
0,2,44,7367.1781
0,3,0,3131.8176
0,3,1,2897.9519
0,3,2,2664.7291
0,3,3,2432.3343
0,3,4,2201.0296
0,3,5,1971.1989
0,3,6,1743.4251
0,3,7,1518.6343
0,3,8,1298.3764
0,3,9,1085.4147
0,3,10,885.0318
0,3,11,707.9901
0,3,12,576.2215
0,3,13,525.0
0,3,14,576.2215
0,3,15,707.9901
0,3,16,885.0318
0,3,17,1085.4147
0,3,18,1298.3764
0,3,19,1518.6343
0,3,20,1743.4251
0,3,21,1971.1989
0,3,22,2201.0296
0,3,23,2432.3343
0,3,24,2664.7291
0,3,25,2897.9519
0,3,26,3131.8176
0,3,27,3366.1922
0,3,28,3600.9764
0,3,29,3836.095
0,3,30,4071.4901
0,3,31,4307.1162
0,3,32,4542.9375
0,3,33,4778.9251
0,3,34,5015.0555
0,3,35,5251.3094
0,3,36,5487.6708
0,3,37,5724.1266
0,3,38,5960.6653
0,3,39,6197.2776
0,3,40,6433.9553
0,3,41,6670.6915
0,3,42,6907.4801
0,3,43,7144.3159
0,3,44,7381.1944
0,4,0,3186.3478
0,4,1,2956.7983
0,4,2,2728.61
0,4,3,2502.1553
0,4,4,2277.9514
0,4,5,2056.7344
0,4,6,1839.5822
0,4,7,1628.122
0,4,8,1424.8903
0,4,9,1233.9596
0,4,10,1061.9852
0,4,11,919.6637
0,4,12,822.5342
0,4,13,787.5
0,4,14,822.5342
0,4,15,919.6637
0,4,16,1061.9852
0,4,17,1233.9596
0,4,18,1424.8903
0,4,19,1628.122
0,4,20,1839.5822
0,4,21,2056.7344
0,4,22,2277.9514
